Timestamp,Object,Direction,Distance_m
2025-06-08 10:34:59,person,center,1
2025-06-08 14:03:31,person,center,1
2025-06-08 14:03:35,person,left,1
2025-06-08 14:03:40,bed,center,1
2025-06-08 14:09:13,person,left,1
2025-06-08 14:09:56,person,center,1
2025-06-08 14:10:37,teddy bear,left,1
2025-06-08 14:10:42,bed,center,1
2025-06-09 07:41:41,person,center,1
2025-06-09 08:04:22,person,center,1
2025-06-09 08:05:13,person,center,1
2025-06-09 08:06:05,person,center,1
2025-06-09 08:06:12,cell phone,center,1
2025-06-09 08:07:04,potted plant,center,0
2025-06-09 08:07:08,vase,left,1
2025-06-09 08:07:13,bottle,left,1
2025-06-09 08:07:18,bed,right,1
2025-06-09 08:07:23,vase,center,0
2025-06-09 08:08:14,potted plant,center,0
2025-06-09 08:08:19,bottle,left,1
2025-06-09 08:08:23,vase,left,1
2025-06-09 08:08:28,bed,right,1
2025-06-09 08:08:33,vase,center,0
2025-06-09 08:22:56,person,center,1
2025-06-09 08:23:56,person,center,1
2025-06-09 08:24:46,person,center,1
2025-06-09 08:34:51,person,center,1
2025-06-09 08:35:44,person,center,1
2025-06-09 08:46:25,person,center,1
2025-06-09 08:47:22,person,center,1
2025-06-09 08:52:04,person,center,1
2025-06-09 08:52:56,person,center,1
2025-06-09 08:59:35,person,center,1
2025-06-09 09:04:13,person,center,1
2025-06-09 09:09:24,person,center,1
2025-06-09 09:10:07,bottle,right,1
2025-06-09 09:10:12,potted plant,center,0
2025-06-09 09:10:17,potted plant,left,1
2025-06-09 09:10:53,bottle,right,1
2025-06-09 09:10:58,potted plant,center,1
2025-06-09 09:11:02,potted plant,left,1
2025-06-09 09:16:53,bed,right,0
2025-06-09 09:16:57,vase,left,1
2025-06-09 09:17:53,bottle,center,1
2025-06-09 09:17:58,potted plant,center,0
2025-06-09 09:18:03,potted plant,left,1
2025-06-09 09:41:14,person,center,1
2025-06-09 09:42:04,person,center,1
2025-06-09 09:43:00,person,center,1
2025-06-09 09:51:18,person,center,1
2025-06-09 09:59:24,person,center,1
2025-06-09 11:36:12,person,center,50
2025-06-09 11:36:29,person,center,53
2025-06-09 11:36:33,person,right,97
2025-06-09 11:36:48,person,center,56
2025-06-09 11:36:52,teddy bear,center,95
2025-06-09 11:37:07,person,center,61
2025-06-09 12:23:10,bed,right,4.59,0.73
2025-06-09 12:23:15,potted plant,left,2.01,0.7
2025-06-09 12:23:25,bed,right,4.59,0.78
2025-06-09 12:23:30,potted plant,left,2.05,0.69
2025-06-09 12:23:45,bottle,right,1.1,0.91
2025-06-09 12:23:50,potted plant,left,2.44,0.8
2025-06-09 12:23:55,mouse,left,0.91,0.84
2025-06-09 12:24:05,bottle,right,1.1,0.92
2025-06-09 12:24:10,potted plant,left,2.46,0.86
2025-06-09 12:24:15,mouse,left,0.91,0.7
2025-06-09 12:24:25,potted plant,left,2.35,0.82
2025-06-09 12:24:30,mouse,left,0.91,0.67
2025-06-09 12:24:36,dining table,center,2.37,0.68
2025-06-09 12:24:46,potted plant,left,2.38,0.83
2025-06-09 12:24:51,mouse,left,0.91,0.71
2025-06-09 12:24:56,person,right,2.93,0.65
2025-06-09 12:25:01,bed,right,5.14,0.74
2025-06-09 12:45:45,person,left,3.33,0.74
2025-06-09 12:45:50,person,right,4.63,0.58
2025-06-09 12:46:04,person,left,2.97,0.89
2025-06-09 12:46:09,person,right,3.38,0.81
2025-06-09 12:46:19,person,left,2.84,0.79
2025-06-09 12:46:24,person,right,3.2,0.56
2025-06-09 12:46:34,person,left,2.85,0.88
2025-06-09 12:46:39,person,right,2.91,0.61
2025-06-09 12:47:04,potted plant,left,10.57,0.56
2025-06-09 12:47:15,person,center,2.27,0.89
2025-06-09 12:47:27,person,center,3.25,0.86
2025-06-09 12:47:32,chair,left,8.21,0.66
2025-06-09 12:47:37,person,left,2.25,0.9
2025-06-09 12:47:49,person,center,3.0,0.78
2025-06-09 12:47:54,person,center,2.32,0.79
2025-06-09 12:48:04,person,center,3.12,0.77
2025-06-09 12:48:09,chair,left,8.36,0.67
2025-06-09 12:48:15,person,center,2.37,0.89
2025-06-09 12:48:26,person,center,3.85,0.77
2025-06-09 12:48:31,couch,right,6.1,0.62
2025-06-09 12:48:43,person,center,3.99,0.8
2025-06-09 12:48:48,couch,right,6.01,0.68
2025-06-09 12:48:54,person,left,2.61,0.94
2025-06-09 12:48:59,book,right,2.53,0.63
2025-06-09 12:49:04,person,right,5.83,0.67
2025-06-09 12:49:15,person,center,4.04,0.78
2025-06-09 12:49:21,couch,right,5.98,0.66
2025-06-09 12:49:27,person,left,2.33,0.95
2025-06-09 12:49:32,book,right,2.53,0.66
2025-06-09 12:49:37,person,right,6.42,0.51
2025-06-09 12:50:30,person,center,0.86,0.96
2025-06-09 12:50:59,person,center,1.04,0.96
2025-06-09 12:51:17,person,center,5.12,0.93
2025-06-09 12:51:23,person,right,4.15,0.74
2025-06-09 12:51:28,couch,right,6.22,0.72
2025-06-09 12:51:34,person,left,2.2,0.96
2025-06-09 12:51:38,book,right,2.24,0.63
2025-06-09 12:51:50,person,right,4.05,0.79
2025-06-09 12:51:55,couch,right,6.22,0.62
2025-06-09 12:52:00,person,left,2.02,0.96
2025-06-09 12:52:06,book,right,2.25,0.65
2025-06-09 12:52:18,person,center,3.49,0.66
2025-06-09 12:53:05,person,center,4.4,0.83
2025-06-09 12:53:11,book,right,2.27,0.68
2025-06-09 12:53:16,couch,right,6.3,0.61
2025-06-09 16:30:52,person,center,0.94,0.93
2025-06-09 16:31:17,person,center,0.95,0.92
2025-06-09 16:31:43,person,right,1.95,0.55
2025-06-09 16:31:48,person,left,1.72,0.74
2025-06-09 16:32:12,person,left,1.86,0.56
2025-06-10 12:09:51,person,center,0.72,0.93
2025-06-10 12:09:56,toothbrush,center,0.1,0.82
2025-06-10 12:10:07,person,center,0.72,0.94
2025-06-10 12:10:17,person,center,0.72,0.93
2025-06-10 12:10:23,toothbrush,center,0.07,0.84
2025-06-10 12:10:38,bottle,right,0.89,0.93
2025-06-10 12:10:43,potted plant,left,3.32,0.84
2025-06-10 12:10:53,bottle,center,0.88,0.85
2025-06-10 12:10:58,potted plant,left,3.39,0.88
2025-06-10 12:11:03,bed,center,3.19,0.51
2025-06-10 12:11:19,person,center,0.76,0.96
2025-06-10 12:13:30,person,center,0.86,0.95
2025-06-10 12:13:41,person,center,1.0,0.95
2025-06-10 12:14:01,bottle,left,0.7,0.91
2025-06-10 12:14:14,bottle,left,0.61,0.95
2025-06-10 12:14:19,potted plant,left,4.85,0.65
2025-06-10 12:14:33,bed,center,2.73,0.82
2025-06-10 12:14:43,bottle,left,0.58,0.96
2025-06-10 12:14:48,dining table,center,2.15,0.6
2025-06-10 12:14:54,person,right,1.79,0.75
2025-06-10 12:15:04,person,center,1.01,0.95
2025-06-10 12:51:28,person,center,0.82,0.95
2025-06-10 12:51:41,person,center,0.81,0.95
2025-06-10 12:52:10,person,center,0.76,0.95
2025-06-11 11:28:28,person,center,0.72,0.94
2025-06-11 11:28:56,person,center,0.88,0.75
2025-06-14 10:27:38,person,center,1.01,0.83
2025-06-14 10:27:44,person,right,13.63,0.7
2025-06-14 10:27:50,person,right,7.23,0.68
2025-06-14 10:27:55,person,right,6.02,0.59
2025-06-14 10:28:06,person,center,1.06,0.92
2025-06-14 10:28:11,person,right,7.99,0.82
2025-06-14 10:28:17,person,right,8.73,0.85
2025-06-14 10:28:27,person,center,1.21,0.9
2025-06-14 10:28:33,chair,right,3.7,0.86
2025-06-14 10:28:42,chair,left,1.88,0.81
2025-06-14 10:28:48,chair,center,9.48,0.74
2025-06-14 10:28:58,person,center,1.72,0.56
2025-06-14 10:29:09,person,center,1.08,0.94
2025-06-14 10:29:14,person,right,10.33,0.79
2025-06-14 10:29:19,person,right,4.8,0.86
2025-06-14 16:23:27,person,center,1.22,0.76
